transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00672,2026-01-20T17:29:57Z,151.42,fuel,SG,True,False
txn_0000001,card_00296,2026-01-24T19:37:40Z,791.91,fuel,SG,False,False
txn_0000002,card_00557,2026-01-15T20:49:19Z,76.39,electronics,AE,False,False
txn_0000003,card_00506,2026-01-08T12:10:32Z,305.69,pharmacy,US,False,False
txn_0000004,card_00016,2026-01-28T01:24:41Z,162.37,utilities,US,True,False
txn_0000005,card_00346,2026-01-04T14:32:36Z,71.18,atm_withdrawal,DE,True,False
txn_0000006,card_00308,2026-01-15T08:16:54Z,15.4,utilities,US,True,False
txn_0000007,card_00331,2026-01-11T21:58:01Z,108.76,entertainment,AE,False,False
txn_0000008,card_00569,2026-01-10T03:26:29Z,44.25,electronics,AE,True,False
txn_0000009,card_00513,2026-01-27T00:47:23Z,78.02,grocery,DE,True,False
txn_0000010,card_00194,2026-01-03T13:49:05Z,315.8,restaurant,IN,False,False
txn_0000011,card_00571,2026-01-23T23:05:16Z,35.85,atm_withdrawal,GB,False,False
txn_0000012,card_00874,2026-01-01T07:03:24Z,65.11,fuel,US,False,False
txn_0000013,card_00044,2026-01-06T08:54:30Z,11.45,fuel,SG,False,False
txn_0000014,card_00091,2026-01-30T22:49:22Z,299.98,fuel,DE,False,False
txn_0000015,card_00577,2026-01-26T16:16:39Z,98.16,atm_withdrawal,GB,True,False
txn_0000016,card_00469,2026-01-23T18:37:40Z,313.4,fuel,SG,True,False
txn_0000017,card_00631,2026-01-12T20:05:20Z,268.74,utilities,GB,True,False
txn_0000018,card_00033,2026-01-15T18:36:18Z,106.85,entertainment,IN,True,False
txn_0000019,card_00225,2026-01-13T02:10:09Z,10.41,grocery,IN,True,False
txn_0000020,card_00545,2026-01-21T10:22:54Z,95.95,online_retail,US,False,False
txn_0000021,card_00704,2026-01-15T19:41:31Z,12.87,electronics,IN,True,False
txn_0000022,card_00370,2026-01-28T06:19:32Z,74.23,grocery,DE,False,False
txn_0000023,card_00539,2026-01-12T13:26:34Z,104.94,travel,DE,False,False
txn_0000024,card_00424,2026-01-26T21:32:21Z,26.04,restaurant,DE,True,False
txn_0000025,card_00589,2026-01-20T11:52:17Z,10.53,atm_withdrawal,DE,True,False
txn_0000026,card_00360,2026-01-12T04:19:40Z,31.18,pharmacy,IN,False,False
txn_0000027,card_00456,2026-01-02T19:34:50Z,273.46,grocery,SG,True,False
txn_0000028,card_00084,2026-01-10T07:21:45Z,20.58,atm_withdrawal,GB,False,False
txn_0000029,card_00500,2026-01-26T11:25:31Z,48.75,grocery,AE,False,False
txn_0000030,card_00569,2026-01-30T06:39:37Z,29.98,electronics,US,True,False
txn_0000031,card_00181,2026-01-19T00:32:34Z,112.76,electronics,SG,False,False
txn_0000032,card_00566,2026-01-10T11:23:08Z,59.24,fuel,SG,True,False
txn_0000033,card_00178,2026-01-04T02:01:30Z,135.76,atm_withdrawal,US,True,False
txn_0000034,card_00234,2026-01-02T16:06:42Z,407.59,restaurant,IN,True,True
txn_0000035,card_00219,2026-01-24T21:55:26Z,5.54,restaurant,SG,False,False
txn_0000036,card_00187,2026-01-23T22:02:23Z,42.01,pharmacy,IN,False,False
txn_0000037,card_00586,2026-01-12T22:27:57Z,55.43,restaurant,IN,False,False
txn_0000038,card_00436,2026-01-20T16:52:17Z,17.78,grocery,GB,True,False
txn_0000039,card_00305,2026-01-06T03:32:48Z,182.41,travel,SG,True,False
txn_0000040,card_00449,2026-01-29T22:38:21Z,149.71,fuel,GB,False,False
txn_0000041,card_00714,2026-01-25T17:08:03Z,37.33,pharmacy,DE,True,False
txn_0000042,card_00205,2026-01-02T05:41:51Z,67.03,entertainment,IN,True,False
txn_0000043,card_00504,2026-01-03T01:13:57Z,218.6,fuel,GB,False,False
txn_0000044,card_00037,2026-01-04T20:31:12Z,52.98,online_retail,GB,True,False
txn_0000045,card_00889,2026-01-21T16:11:06Z,221.43,utilities,US,False,False
txn_0000046,card_00444,2026-01-30T17:09:32Z,10.76,utilities,GB,True,False
txn_0000047,card_00173,2026-01-08T06:15:31Z,193.31,electronics,AE,True,True
txn_0000048,card_00835,2026-01-15T15:56:30Z,22.32,fuel,SG,False,False
txn_0000049,card_00310,2026-01-17T07:00:05Z,89.43,grocery,GB,False,False
txn_0000050,card_00581,2026-01-27T04:52:15Z,65.13,fuel,DE,False,False
txn_0000051,card_00211,2026-01-19T01:30:17Z,166.56,restaurant,AE,False,False
txn_0000052,card_00631,2026-01-18T19:37:05Z,21.74,restaurant,IN,False,False
txn_0000053,card_00089,2026-01-18T15:52:13Z,53.58,utilities,DE,True,False
txn_0000054,card_00632,2026-01-11T05:49:04Z,11.94,fuel,DE,True,False
txn_0000055,card_00898,2026-01-22T17:40:42Z,92.55,electronics,SG,False,False
txn_0000056,card_00305,2026-01-08T18:06:48Z,90.88,entertainment,SG,True,False
txn_0000057,card_00063,2026-01-05T12:59:24Z,56.9,restaurant,SG,True,False
txn_0000058,card_00130,2026-01-29T18:58:14Z,77.8,restaurant,US,True,False
txn_0000059,card_00240,2026-01-24T18:06:31Z,35.18,entertainment,AE,False,False
txn_0000060,card_00454,2026-01-05T06:44:49Z,218.54,restaurant,AE,True,False
txn_0000061,card_00573,2026-01-14T13:39:50Z,98.75,utilities,SG,False,False
txn_0000062,card_00621,2026-01-29T17:00:40Z,160.28,entertainment,DE,True,False
txn_0000063,card_00012,2026-01-22T18:23:49Z,64.92,fuel,AE,True,False
txn_0000064,card_00216,2026-01-19T05:09:52Z,760.39,utilities,SG,False,False
txn_0000065,card_00540,2026-01-29T18:44:11Z,100.74,pharmacy,DE,True,False
txn_0000066,card_00750,2026-01-02T08:25:56Z,85.42,restaurant,US,False,False
txn_0000067,card_00568,2026-01-22T02:09:57Z,43.97,online_retail,SG,False,False
txn_0000068,card_00389,2026-01-30T17:14:49Z,9.37,electronics,US,False,False
txn_0000069,card_00462,2026-01-25T04:03:37Z,101.27,utilities,DE,True,False
txn_0000070,card_00082,2026-01-01T22:39:24Z,56.99,grocery,SG,True,False
txn_0000071,card_00014,2026-01-29T17:58:07Z,472.18,grocery,US,True,False
txn_0000072,card_00788,2026-01-01T13:37:13Z,48.15,online_retail,AE,True,False
txn_0000073,card_00496,2026-01-30T10:30:09Z,108.82,online_retail,GB,False,False
txn_0000074,card_00756,2026-01-15T16:47:53Z,6.54,fuel,AE,True,False
txn_0000075,card_00493,2026-01-04T07:42:23Z,41.62,restaurant,SG,True,False
txn_0000076,card_00401,2026-01-17T20:22:53Z,167.61,utilities,GB,True,False
txn_0000077,card_00593,2026-01-25T02:50:56Z,63.66,online_retail,SG,True,False
txn_0000078,card_00894,2026-01-08T21:23:00Z,6.21,restaurant,AE,True,False
txn_0000079,card_00703,2026-01-06T10:56:36Z,45.99,entertainment,US,False,False
txn_0000080,card_00448,2026-01-03T19:14:46Z,59.44,utilities,GB,True,False
txn_0000081,card_00277,2026-01-18T03:11:28Z,92.23,entertainment,SG,True,False
txn_0000082,card_00248,2026-01-20T21:39:28Z,12.52,grocery,US,False,False
txn_0000083,card_00367,2026-01-29T10:27:07Z,141.99,travel,DE,True,False
txn_0000084,card_00844,2026-01-02T15:35:05Z,57.01,electronics,IN,False,False
txn_0000085,card_00445,2026-01-16T15:33:35Z,15.79,electronics,GB,False,False
