transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00414,2026-01-04T20:33:44Z,10.64,atm_withdrawal,AE,True,False
txn_0000001,card_00526,2026-01-09T23:13:56Z,1987.98,pharmacy,US,True,False
txn_0000002,card_00608,2026-01-18T12:00:12Z,11.68,grocery,US,True,False
txn_0000003,card_00349,2026-01-06T21:47:00Z,79.11,electronics,DE,False,False
txn_0000004,card_00113,2026-01-01T00:43:46Z,51.52,pharmacy,IN,False,False
txn_0000005,card_00841,2026-01-19T14:14:21Z,91.6,restaurant,SG,False,False
txn_0000006,card_00074,2026-01-21T17:02:22Z,58.03,fuel,AE,True,False
txn_0000007,card_00823,2026-01-27T06:03:56Z,141.52,travel,DE,True,False
txn_0000008,card_00495,2026-01-11T14:48:34Z,87.41,utilities,DE,False,False
txn_0000009,card_00244,2026-01-04T01:51:46Z,98.12,electronics,SG,False,False
txn_0000010,card_00340,2026-01-18T19:04:48Z,172.44,fuel,AE,True,False
txn_0000011,card_00077,2026-01-12T13:16:18Z,85.35,online_retail,IN,True,False
txn_0000012,card_00594,2026-01-11T16:09:47Z,23.28,travel,GB,True,False
txn_0000013,card_00192,2026-01-29T19:21:48Z,23.4,travel,SG,False,False
txn_0000014,card_00199,2026-01-11T17:43:29Z,148.4,online_retail,SG,True,True
txn_0000015,card_00574,2026-01-23T05:43:55Z,70.42,grocery,IN,True,False
txn_0000016,card_00776,2026-01-08T20:27:15Z,252.39,utilities,SG,True,False
txn_0000017,card_00036,2026-01-12T19:12:01Z,13.37,utilities,IN,True,False
txn_0000018,card_00058,2026-01-15T06:59:46Z,22.22,pharmacy,GB,True,False
txn_0000019,card_00017,2026-01-17T01:45:51Z,8.66,fuel,US,True,False
txn_0000020,card_00762,2026-01-30T04:39:38Z,145.94,utilities,GB,True,False
txn_0000021,card_00369,2026-01-16T01:04:43Z,18.93,entertainment,SG,True,False
txn_0000022,card_00640,2026-01-14T16:17:50Z,75.21,online_retail,US,True,False
txn_0000023,card_00313,2026-01-12T16:18:06Z,103.74,fuel,IN,False,False
txn_0000024,card_00862,2026-01-25T17:47:33Z,24.61,electronics,US,True,False
txn_0000025,card_00837,2026-01-15T22:51:37Z,13.89,travel,AE,True,False
txn_0000026,card_00672,2026-01-13T10:15:33Z,9.06,fuel,GB,True,False
txn_0000027,card_00319,2026-01-08T07:09:13Z,26.51,online_retail,DE,False,False
txn_0000028,card_00319,2026-01-28T12:01:23Z,21.51,utilities,US,False,False
txn_0000029,card_00305,2026-01-28T01:44:03Z,125.82,pharmacy,AE,False,False
txn_0000030,card_00227,2026-01-13T06:15:09Z,15.4,utilities,DE,True,False
txn_0000031,card_00760,2026-01-12T06:02:12Z,93.36,entertainment,IN,False,False
txn_0000032,card_00477,2026-01-22T21:46:04Z,158.93,pharmacy,GB,False,False
txn_0000033,card_00829,2026-01-24T03:57:39Z,15.5,utilities,IN,False,False
txn_0000034,card_00241,2026-01-03T14:45:03Z,45.16,pharmacy,AE,False,False
txn_0000035,card_00140,2026-01-14T11:58:12Z,329.75,atm_withdrawal,AE,True,False
txn_0000036,card_00507,2026-01-29T13:54:41Z,34.04,entertainment,SG,True,False
txn_0000037,card_00769,2026-01-06T02:04:41Z,51.01,online_retail,IN,False,False
txn_0000038,card_00720,2026-01-21T15:32:42Z,126.94,fuel,SG,False,False
txn_0000039,card_00872,2026-01-06T15:57:27Z,369.59,electronics,SG,False,False
txn_0000040,card_00036,2026-01-26T21:57:41Z,17.32,electronics,US,True,False
txn_0000041,card_00719,2026-01-26T12:07:27Z,517.82,pharmacy,SG,False,False
txn_0000042,card_00826,2026-01-05T04:47:19Z,82.43,electronics,GB,False,False
txn_0000043,card_00385,2026-01-23T20:22:48Z,88.74,utilities,US,False,False
txn_0000044,card_00226,2026-01-19T00:50:11Z,9.95,grocery,DE,True,False
txn_0000045,card_00704,2026-01-04T20:28:21Z,69.69,atm_withdrawal,US,False,False
txn_0000046,card_00771,2026-01-28T13:39:29Z,60.51,entertainment,SG,True,False
txn_0000047,card_00709,2026-01-08T01:12:54Z,32.19,restaurant,AE,False,False
txn_0000048,card_00435,2026-01-07T01:52:49Z,93.22,travel,US,True,False
txn_0000049,card_00713,2026-01-22T05:43:07Z,78.98,online_retail,GB,False,False
txn_0000050,card_00474,2026-01-02T04:50:38Z,302.1,entertainment,GB,True,False
txn_0000051,card_00364,2026-01-01T10:03:21Z,200.93,electronics,US,False,False
txn_0000052,card_00134,2026-01-24T07:24:52Z,16.58,online_retail,GB,False,False
txn_0000053,card_00193,2026-01-20T15:07:22Z,308.27,entertainment,DE,False,False
txn_0000054,card_00031,2026-01-09T10:28:28Z,17.16,entertainment,SG,False,False
txn_0000055,card_00636,2026-01-22T01:33:25Z,41.33,restaurant,US,False,False
txn_0000056,card_00740,2026-01-14T05:39:03Z,378.71,restaurant,GB,True,False
txn_0000057,card_00804,2026-01-26T04:42:32Z,35.75,electronics,IN,True,False
txn_0000058,card_00747,2026-01-03T14:50:17Z,51.05,electronics,US,True,False
txn_0000059,card_00698,2026-01-14T00:01:37Z,75.81,restaurant,SG,True,False
txn_0000060,card_00151,2026-01-14T10:42:25Z,72.11,fuel,GB,True,False
txn_0000061,card_00683,2026-01-29T10:55:01Z,40.11,restaurant,IN,False,False
txn_0000062,card_00808,2026-01-26T03:17:30Z,37.32,grocery,GB,False,False
txn_0000063,card_00704,2026-01-18T08:08:02Z,327.85,fuel,US,True,False
txn_0000064,card_00027,2026-01-23T21:53:15Z,48.98,grocery,US,True,False
txn_0000065,card_00796,2026-01-18T16:10:03Z,25.43,online_retail,AE,True,False
txn_0000066,card_00614,2026-01-04T03:48:22Z,220.83,grocery,GB,True,True
txn_0000067,card_00310,2026-01-12T23:03:55Z,83.46,entertainment,IN,True,False
txn_0000068,card_00412,2026-01-18T05:07:17Z,286.93,fuel,IN,True,False
txn_0000069,card_00265,2026-01-07T22:30:08Z,90.57,electronics,GB,True,False
txn_0000070,card_00056,2026-01-27T12:05:27Z,85.0,fuel,US,False,False
txn_0000071,card_00386,2026-01-21T14:35:34Z,11.68,online_retail,GB,True,False
txn_0000072,card_00011,2026-01-19T22:23:28Z,50.43,restaurant,DE,False,False
txn_0000073,card_00291,2026-01-26T04:50:18Z,1068.85,fuel,DE,True,False
txn_0000074,card_00058,2026-01-15T10:00:43Z,67.99,travel,GB,True,False
txn_0000075,card_00545,2026-01-15T23:00:51Z,10.67,fuel,US,False,False
txn_0000076,card_00426,2026-01-03T01:42:57Z,22.35,utilities,SG,True,False
txn_0000077,card_00637,2026-01-22T23:08:37Z,47.28,atm_withdrawal,DE,False,False
txn_0000078,card_00103,2026-01-25T09:50:33Z,5.66,entertainment,SG,False,False
txn_0000079,card_00024,2026-01-24T04:09:19Z,62.11,entertainment,DE,True,False
txn_0000080,card_00438,2026-01-04T00:54:26Z,58.84,online_retail,IN,True,False
txn_0000081,card_00497,2026-01-29T01:19:10Z,193.36,entertainment,IN,True,False
txn_0000082,card_00181,2026-01-06T18:52:16Z,23.13,pharmacy,DE,True,False
txn_0000083,card_00261,2026-01-18T07:38:48Z,23.8,electronics,SG,False,False
txn_0000084,card_00030,2026-01-18T11:51:32Z,6.02,pharmacy,DE,False,False
txn_0000085,card_00095,2026-01-18T14:22:03Z,30.52,online_retail,IN,True,False
txn_0000086,card_00060,2026-01-04T18:47:40Z,18.69,grocery,IN,True,False
txn_0000087,card_00884,2026-01-18T18:38:31Z,106.25,entertainment,DE,False,False
txn_0000088,card_00423,2026-01-02T03:40:44Z,21.41,restaurant,GB,True,False
txn_0000089,card_00786,2026-01-21T19:06:35Z,27.62,atm_withdrawal,SG,False,False
txn_0000090,card_00837,2026-01-24T04:08:31Z,32.4,atm_withdrawal,SG,True,False
txn_0000091,card_00524,2026-01-04T15:22:12Z,32.16,electronics,US,True,False
txn_0000092,card_00457,2026-01-13T04:43:07Z,943.64,utilities,SG,True,False
txn_0000093,card_00141,2026-01-27T09:58:20Z,279.9,atm_withdrawal,US,True,False
txn_0000094,card_00513,2026-01-07T06:08:54Z,115.97,entertainment,DE,True,False
txn_0000095,card_00646,2026-01-25T05:42:32Z,51.79,utilities,IN,True,False
txn_0000096,card_00459,2026-01-25T11:52:44Z,481.57,grocery,IN,False,False
txn_0000097,card_00279,2026-01-27T06:41:38Z,97.99,electronics,AE,True,False
txn_0000098,card_00363,2026-01-27T05:38:18Z,76.16,electronics,AE,True,False
txn_0000099,card_00858,2026-01-11T21:37:09Z,693.93,grocery,DE,True,False
txn_0000100,card_00802,2026-01-08T13:46:10Z,277.69,electronics,DE,False,False
txn_0000101,card_00160,2026-01-06T05:09:53Z,71.14,online_retail,GB,False,False
txn_0000102,card_00408,2026-01-01T13:58:53Z,23.66,atm_withdrawal,IN,False,False
txn_0000103,card_00749,2026-01-16T12:48:05Z,52.94,grocery,AE,True,False
txn_0000104,card_00647,2026-01-05T20:32:49Z,68.58,pharmacy,GB,True,False
txn_0000105,card_00454,2026-01-09T16:06:02Z,540.26,entertainment,US,True,False
txn_0000106,card_00323,2026-01-24T06:08:05Z,41.23,grocery,SG,False,False
txn_0000107,card_00403,2026-01-03T02:48:15Z,10.78,travel,US,True,False
txn_0000108,card_00295,2026-01-04T09:56:35Z,82.55,online_retail,SG,False,False
txn_0000109,card_00620,2026-01-03T14:42:00Z,75.28,atm_withdrawal,SG,True,False
txn_0000110,card_00523,2026-01-29T03:28:09Z,42.8,pharmacy,GB,True,False
txn_0000111,card_00854,2026-01-30T06:03:03Z,363.78,electronics,AE,False,False
txn_0000112,card_00751,2026-01-16T08:09:46Z,370.85,entertainment,US,False,False
txn_0000113,card_00776,2026-01-07T23:21:53Z,16.17,travel,DE,True,False
txn_0000114,card_00206,2026-01-01T00:01:40Z,19.22,fuel,GB,True,False
txn_0000115,card_00878,2026-01-03T07:14:14Z,71.57,utilities,AE,True,False
txn_0000116,card_00687,2026-01-09T18:35:22Z,93.92,grocery,US,False,False
txn_0000117,card_00179,2026-01-18T11:08:41Z,4.71,electronics,AE,False,False
txn_0000118,card_00102,2026-01-04T22:08:59Z,43.69,electronics,SG,True,False
txn_0000119,card_00480,2026-01-21T06:41:46Z,629.66,online_retail,IN,False,False
txn_0000120,card_00870,2026-01-19T06:07:28Z,471.2,online_retail,GB,True,False
txn_0000121,card_00848,2026-01-03T13:28:33Z,17.44,online_retail,US,True,False
txn_0000122,card_00394,2026-01-14T11:46:42Z,80.98,utilities,US,True,False
txn_0000123,card_00700,2026-01-25T04:51:29Z,65.5,atm_withdrawal,DE,True,False
txn_0000124,card_00384,2026-01-18T18:22:13Z,31.89,entertainment,IN,True,False
txn_0000125,card_00569,2026-01-06T08:16:59Z,40.19,pharmacy,IN,False,False
txn_0000126,card_00827,2026-01-17T08:29:02Z,387.6,electronics,SG,True,False
txn_0000127,card_00455,2026-01-27T22:01:24Z,24.39,online_retail,AE,False,False
txn_0000128,card_00444,2026-01-17T22:34:29Z,219.32,travel,US,True,False
txn_0000129,card_00503,2026-01-20T00:00:45Z,207.5,online_retail,IN,True,False
txn_0000130,card_00572,2026-01-26T03:59:42Z,15.77,grocery,US,False,False
txn_0000131,card_00447,2026-01-09T22:41:49Z,509.12,pharmacy,DE,True,False
txn_0000132,card_00799,2026-01-01T20:15:06Z,156.11,atm_withdrawal,AE,False,False
txn_0000133,card_00779,2026-01-13T22:26:03Z,23.09,utilities,SG,False,False
txn_0000134,card_00660,2026-01-16T03:59:30Z,504.63,grocery,AE,True,False
txn_0000135,card_00287,2026-01-04T23:39:47Z,28.12,electronics,GB,False,False
txn_0000136,card_00126,2026-01-21T22:07:16Z,73.35,restaurant,AE,True,False
txn_0000137,card_00883,2026-01-15T14:53:05Z,7.51,online_retail,IN,True,False
txn_0000138,card_00852,2026-01-14T11:45:56Z,46.23,entertainment,IN,True,False
txn_0000139,card_00282,2026-01-25T14:46:33Z,355.96,restaurant,DE,True,False
txn_0000140,card_00817,2026-01-24T21:54:08Z,27.74,entertainment,GB,True,False
txn_0000141,card_00492,2026-01-21T01:34:30Z,28.56,pharmacy,AE,False,False
txn_0000142,card_00867,2026-01-12T11:16:06Z,63.11,entertainment,IN,False,False
txn_0000143,card_00337,2026-01-01T22:41:28Z,422.9,grocery,US,False,False
txn_0000144,card_00668,2026-01-06T12:21:43Z,164.38,atm_withdrawal,DE,False,False
txn_0000145,card_00820,2026-01-15T04:50:09Z,298.23,fuel,AE,False,False
txn_0000146,card_00065,2026-01-30T23:26:12Z,131.15,electronics,SG,True,False
txn_0000147,card_00087,2026-01-20T05:07:35Z,51.06,electronics,AE,True,False
txn_0000148,card_00478,2026-01-14T07:42:43Z,892.82,restaurant,US,True,False
txn_0000149,card_00415,2026-01-09T11:09:38Z,28.81,travel,AE,False,False
txn_0000150,card_00528,2026-01-30T10:37:12Z,27.34,online_retail,IN,True,False
txn_0000151,card_00648,2026-01-30T18:03:07Z,71.39,atm_withdrawal,DE,True,False
txn_0000152,card_00066,2026-01-09T07:32:11Z,137.12,travel,SG,False,False
txn_0000153,card_00760,2026-01-27T02:44:39Z,97.79,online_retail,GB,False,False
txn_0000154,card_00222,2026-01-07T20:21:08Z,191.5,pharmacy,AE,False,False
txn_0000155,card_00695,2026-01-19T01:53:39Z,199.1,electronics,GB,False,False
txn_0000156,card_00023,2026-01-05T14:04:28Z,166.42,online_retail,AE,True,False
txn_0000157,card_00757,2026-01-05T01:05:56Z,170.1,atm_withdrawal,SG,False,False
txn_0000158,card_00169,2026-01-27T16:53:43Z,134.3,atm_withdrawal,US,True,False
txn_0000159,card_00645,2026-01-02T20:04:53Z,86.17,travel,IN,True,False
