transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000500,card_00699,2026-01-16T09:48:08Z,atm_withdrawal,True,False,dev_004010,SG,13990
txn_0000501,card_00272,2026-01-10T23:34:21Z,fuel,False,False,dev_003267,AE,19477
txn_0000502,card_00016,2026-01-30T18:01:48Z,online_retail,False,False,dev_000086,IN,6007
txn_0000503,card_00542,2026-01-14T13:36:24Z,grocery,False,False,dev_001972,DE,17053
txn_0000504,card_00043,2026-01-30T16:50:22Z,travel,False,False,dev_001447,US,29390
txn_0000505,card_00805,2026-01-22T16:17:13Z,pharmacy,False,False,dev_002251,IN,76065
txn_0000506,card_00458,2026-01-02T15:57:24Z,fuel,True,False,dev_004368,IN,27885
txn_0000507,card_00749,2026-01-17T14:50:48Z,atm_withdrawal,False,False,dev_001619,DE,10993
txn_0000508,card_00199,2026-01-15T18:17:21Z,atm_withdrawal,True,False,dev_004419,GB,3918
txn_0000509,card_00724,2026-01-22T17:49:08Z,pharmacy,False,False,dev_001485,US,16659
txn_0000510,card_00327,2026-01-15T12:51:21Z,restaurant,True,False,dev_001302,SG,5394
txn_0000511,card_00299,2026-01-27T04:29:51Z,atm_withdrawal,False,False,dev_003086,US,2898
txn_0000512,card_00830,2026-01-10T03:29:15Z,atm_withdrawal,False,False,dev_002643,GB,8942
txn_0000513,card_00442,2026-01-11T07:13:48Z,entertainment,False,False,dev_002657,AE,24007
txn_0000514,card_00423,2026-01-04T23:31:08Z,online_retail,False,False,dev_001034,DE,45954
txn_0000515,card_00563,2026-01-05T09:01:43Z,atm_withdrawal,True,False,dev_000637,US,3210
txn_0000516,card_00495,2026-01-07T23:59:43Z,fuel,False,False,dev_001396,IN,922
txn_0000517,card_00685,2026-01-28T04:53:37Z,atm_withdrawal,False,False,dev_001773,GB,11841
txn_0000518,card_00747,2026-01-29T12:55:29Z,entertainment,False,False,dev_000332,SG,8169
txn_0000519,card_00647,2026-01-22T15:18:17Z,fuel,True,True,dev_001697,US,15825
txn_0000520,card_00290,2026-01-26T22:31:59Z,atm_withdrawal,False,False,dev_004434,US,1050
txn_0000521,card_00371,2026-01-27T00:20:38Z,restaurant,True,False,dev_002820,US,63186
txn_0000522,card_00702,2026-01-23T09:49:14Z,utilities,True,False,dev_001268,DE,35350
txn_0000523,card_00164,2026-01-14T07:59:22Z,atm_withdrawal,True,False,dev_001066,GB,3455
txn_0000524,card_00738,2026-01-07T12:12:55Z,online_retail,True,False,dev_000744,GB,19136
txn_0000525,card_00601,2026-01-13T03:29:55Z,atm_withdrawal,False,False,dev_001996,SG,4059
txn_0000526,card_00743,2026-01-28T06:16:42Z,utilities,True,False,dev_004222,GB,3565
txn_0000527,card_00848,2026-01-30T15:17:49Z,online_retail,False,False,dev_004530,SG,8298
txn_0000528,card_00072,2026-01-07T10:29:57Z,fuel,False,False,dev_004187,GB,2488
txn_0000529,card_00274,2026-01-07T22:08:12Z,entertainment,True,True,dev_002769,SG,58709
txn_0000530,card_00084,2026-01-02T06:21:30Z,atm_withdrawal,True,False,dev_000930,IN,9375
txn_0000531,card_00467,2026-01-27T03:01:02Z,grocery,True,False,dev_000528,GB,18430
txn_0000532,card_00119,2026-01-30T06:15:18Z,grocery,False,False,dev_002040,GB,2399
